79,Waterloo Airport,Waterloo,Canada,YKF,CYKF,"","",1055,"","",America/Toronto,airport
80,Schefferville Airport,Schefferville,Canada,YKL,CYKL,"","",1709,"","",America/Toronto,airport
81,Kindersley Airport,Kindersley,Canada,YKY,CYKY,"","",2277,"","",America/Regina,airport
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,"","",650,"","",America/Toronto,airport
83,Chapleau Airport,Chapleau,Canada,YLD,CYLD,"","",1470,"","",America/Toronto,airport
84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,"","",1576,"","",America/Regina,airport
85,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,"","",2193,"","",America/Edmonton,airport
86,Alert Airport,Alert,Canada,YLT,CYLT,"","",100,"","",America/Toronto,airport
87,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,"","",1421,"","",America/Vancouver,airport
88,Mayo Airport,Mayo,Canada,YMA,CYMA,"","",1653,"","",America/Vancouver,airport
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,"","",1892,"","",America/Regina,airport
90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,"","",1211,"","",America/Edmonton,airport
91,Moosonee Airport,Moosonee,Canada,YMO,CYMO,"","",30,"","",America/Toronto,airport
92,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,"","",656,"","",America/Toronto,airport
93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,"","",270,"","",America/Toronto,airport
94,Natashquan Airport,Natashquan,Canada,YNA,CYNA,"","",39,"","",America/Toronto,airport
95,Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,"","",211,"","",America/Toronto,airport
96,Matagami Airport,Matagami,Canada,YNM,CYNM,"","",918,"","",America/Toronto,airport
97,Old Crow Airport,Old Crow,Canada,YOC,CYOC,"","",824,"","",America/Vancouver,airport
98,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,"","",1775,"","",America/Edmonton,airport
99,High Level Airport,High Level,Canada,YOJ,CYOJ,"","",1110,"","",America/Edmonton,airport
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,"","",374,"","",America/Toronto,airport
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,"","",1405,"","",America/Regina,airport
