121,Air Universal,\N,"",UVS,UNI-LEONE,Sierra Leone
122,Auvia Air,\N,"",UVT,AUVIA,Indonesia
123,African West Air,\N,"",AFC,AFRICAN WEST,Senegal
124,Airfast Indonesia,\N,"",AFE,AIRFAST,Indonesia
125,Ariana Afghan Airlines,\N,FG,AFG,ARIANA,Afghanistan
126,Air Fecteau,\N,"",AFH,FECTO,Canada
127,Africaone,\N,"",AFI,AFRICAWORLD,Uganda
128,Alliance,\N,"",AFJ,JAMBO,Uganda
129,Africa Air Links,\N,"",AFK,AFRICA LINKS,Sierra Leone
130,Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia
131,Aero Empresa Mexicana,\N,"",AFO,AERO EMPRESA,Mexico
132,Air Bosna,\N,JA,BON,AIR BOSNA,Bosnia and Herzegovina
133,Air Bravo,\N,"",BRF,AIR BRAVO,Uganda
134,Air Brasd'or,\N,"",BRL,BRASD'OR,Canada
135,Air 500,\N,"",BRM,BOOMERANG,Canada
136,Alba Servizi Aerotrasporti,\N,"",AFQ,ALBA,Italy
137,Air France,\N,AF,AFR,AIRFRANS,France
138,Air Partner,\N,"",ACG,AIR PARTNER,United Kingdom
139,Air Caledonie International,\N,SB,ACI,AIRCALIN,France
140,Air Caledonia,\N,"",ACM,WEST CAL,Canada
141,Air Guam,\N,"",AGM,AIR GUAM,United States
142,Air Gabon,\N,GN,AGN,GOLF NOVEMBER,Gabon
143,Air Data,\N,"",AFS,"",United Kingdom
144,Air Afrique Vacancies,\N,"",AFV,AFRIQUE VACANCE,Ivory Coast
145,Air Cargo America,\N,"",MVM,PEGASUS,United States
146,Air Salone,\N,2O,"","",Sierra Leone
147,Air-Angol,\N,"",NGO,AIR ANGOL,Angola
148,Air Nigeria,\N,"",NGP,REGAL EAGLE,Nigeria
149,Air Cargo Carriers,\N,2Q,SNC,NIGHT CARGO,United States
150,Air Samarkand,\N,"",SND,ARSAM,Uzbekistan
151,Air Senegal International,\N,V7,SNG,AIR SENEGAL,Senegal
152,Air Sandy,\N,"",SNY,AIR SANDY,Canada
153,Air Namibia,\N,SW,NMB,NAMIBIA,Namibia
154,Air Intersalonika,\N,"",NSK,INTERSALONIKA,Greece
155,Air Anatolia,\N,"",NTL,AIR ANATOLIA,Turkey
156,Air Saigon,\N,"",SGA,AIR SAIGON,Vietnam
157,Afrique Regional Airways,\N,"",AFW,AFRAIR,Ivory Coast
158,Airfreight Express,\N,"",AFX,"",United Kingdom
159,Africa Chartered Services,\N,"",AFY,AFRICA CHARTERED,Nigeria
160,Africa Freight Services,\N,"",AFZ,AFREIGHT,Zambia
161,Aeronaves Del Centro,\N,"",AGA,"",Venezuela
162,Air Service Gabon,\N,G8,AGB,"",Gabon
163,Arab Agricultural Aviation Company,\N,"",AGC,AGRICO,Egypt
164,Atlantic Gulf Airlines,\N,"",AGF,ATLANTIC GULF,United States
165,Aerolitoral,\N,5D,SLI,COSTERA,Mexico
166,Algoma Airways,\N,"",AGG,ALGOMA,Canada
167,Altagna,\N,"",AGH,ALTAGNA,France
168,Angola Air Charter,\N,"",AGO,ANGOLA CHARTER,Angola
169,Angola Air Charter,\N,"",AGO,ANGOLA CHARTER,Angola
170,AERFI Group,\N,"",AGP,AIR TARA,Ireland
171,Aerogala,\N,"",AGQ,GALASERVICE,Chile
172,Amadeus Global Travel Distribution,\N,1A,AGT,AMADEUS,Spain
173,Angara Airlines,\N,"",AGU,SARMA,Russia
174,Air Glaciers,\N,7T,AGV,AIR GLACIERS,Switzerland
175,Aero Gambia,\N,"",AGW,AERO GAMBIA,Gambia
176,Aviogenex,\N,"",AGX,GENEX,Serbia
177,Atlantic Coast Airlines,\N,"",BLR,BLUE RIDGE,United States
178,Aero Barloz,\N,"",BLZ,AEROLOZ,Mexico
179,Aeroper,\N,PL,PLI,Aeroperu,Peru
180,Atlas Blue,\N,8A,BMM,ATLAS BLUE,Morocco
181,Aero Banobras,\N,"",BNB,AEROBANOBRAS,Mexico
182,Aero Flight Service,\N,"",AGY,FLIGHT GROUP,United States
183,Agrolet-Mci,\N,"",AGZ,AGROLET,Slovakia
184,Air Alpha Greenland,\N,GD,AHA,AIR ALPHA,Denmark
185,Azal Avia Cargo,\N,"",AHC,AZALAVIACARGO,Azerbaijan
186,Airport Helicopter Basel,\N,"",AHE,Muller & Co.,AIRPORT HELICOPTER
187,Aeroservices Corporate,\N,"",CJE,BIRD JET,France
188,Aspen Helicopters,\N,"",AHF,ASPEN,United States
189,Aerochago Airlines,\N,"",AHG,AEROCHAGO,Dominican Republic
190,Airplanes Holdings,\N,"",AHH,AIRHOLD,Ireland
191,Air Hong Kong,\N,LD,AHK,AIR HONG KONG,Hong Kong
192,Aerochiapas,\N,"",AHP,AEROCHIAPAS,Mexico
193,Air Adriatic,\N,"",AHR,ADRIATIC,Croatia
194,Air Viggi San Raffaele,\N,"",AHS,AIRSAR,Italy
195,ABC Air Hungary,\N,"",AHU,ABC HUNGARY,Hungary
196,Aeromist-Kharkiv,\N,HT,AHW,AEROMIST,Ukraine
197,Azerbaijan Airlines,\N,J2,AHY,AZAL,Azerbaijan
198,Avies,\N,U3,AIA,AVIES,Estonia
199,Airbus Industrie,\N,AP,AIB,AIRBUS INDUSTRIE,France
200,Alpine Air Chile,\N,"",AIH,ALPINE CHILE,Chile
201,Air Integra,\N,"",AII,INTEGRA,Canada
202,ABC Aerolineas,\N,"",AIJ,ABC AEROLINEAS,Mexico
203,African Airlines International Limited,\N,"",AIK,AFRICAN AIRLINES,Kenya
204,African International Airways,\N,"",AIN,FLY CARGO,Swaziland
205,Alpine Air Express,\N,5A,AIP,ALPINE AIR,United States
206,Alicante Internacional Airlines,\N,"",AIU,ALIA,Spain
207,Aba Air,\N,"",ABP,BAIR,Czech Republic
208,Airblue,\N,ED,ABQ,PAKBLUE,Pakistan
209,Airmark Aviation,\N,"",THM,THAI AIRMARK,Thailand
210,Airlift International,\N,"",AIR,AIRLIFT,United States
211,Airest,\N,"",AIT,"",Estonia
212,Air Baffin,\N,"",BFF,AIR BAFFIN,Canada
213,Air Bandama,\N,"",BDM,BANDAMA,Ivory Coast
214,Air Berlin,\N,AB,BER,AIR BERLIN,Germany
215,Air Brousse,\N,"",ABT,AIR BROUSSE,Canada
216,Air Contractors,\N,AG,ABR,CONTRACT,Ireland
217,Air Illinois,\N,"",AIL,AIR ILLINOIS,United States
218,Air India Limited,\N,AI,AIC,AIRINDIA,India
219,Air Inter Gabon,\N,"",AIG,"",Gabon
220,Air Bourbon,\N,ZB,BUB,BOURBON,Reunion
221,Air Atlanta Icelandic,\N,CC,ABD,ATLANTA,Iceland
222,Air Inuit,\N,"",AIE,AIR INUIT,Canada
223,Air Sureste,\N,"",AIS,SURESTE,Spain
224,Air Srpska,\N,RB,SBK,Air Srpska,Bosnia and Herzegovina
225,Air Tahiti Nui,\N,TN,THT,TAHITI AIRLINES,France
226,Airvias S/A Linhas Aereas,\N,"",AIV,AIRVIAS,Brazil
227,Aero Services Executive,\N,W4,BES,BIRD EXPRESS,France
228,Atlantic Island Airways,\N,"",AIW,TARTAN,Canada
229,Aircruising Australia,\N,"",AIX,CRUISER,Australia
230,Aircrew Check and Training Australia,\N,"",AIY,AIRCREW,Australia
231,Arkia Israel Airlines,\N,IZ,AIZ,ARKIA,Israel
232,A J Services,\N,"",AJA,AYJAY SERVICES,United Kingdom
233,Aero JBR,\N,"",AJB,AERO JBR,Mexico
234,Aero Jet Express,\N,"",AJE,JET EXPRESS,Mexico
235,Avia Consult Flugbetriebs,\N,"",AJF,AVIACONSULT,Austria
236,Ameristar Jet Charter,\N,"",AJI,AMERISTAR,United States
237,A2 Jet Leasing,\N,"",AJJ,ATLANTIC JET,United States
238,Allied Air,\N,"",AJK,BAMBI,Nigeria
239,Air Jamaica,\N,JM,AJM,JAMAICA,Jamaica
240,Air One,\N,AP,ADH,HERON,Italy
241,Air Sahara,\N,S2,RSH,SAHARA,India
242,Air Malta,\N,KM,AMC,AIR MALTA,Malta
243,Aeroejecutivo,\N,"",AJO,AEROEXO,Mexico
244,Aero Jets Corporativos,\N,"",AJP,AEROJETS,Mexico
245,Aeroejecutivos Colombia,\N,"",AJS,AEROEJECUTIVOS,Colombia
246,Amerijet International,\N,M6,AJT,AMERIJET,United States
247,Air Jetsul,\N,"",AJU,AIRJETSUL,Portugal
248,ANA & JP Express,\N,"",AJV,AYJAY CARGO,Japan
249,Alpha Jet International,\N,"",AJW,ALPHAJET,United States
250,Air Japan,\N,NQ,AJX,AIR JAPAN,Japan
251,Ajet,\N,"",AJY,AYJET,Cyprus
252,Air Korea Co. Ltd.,\N,"",AKA,"",Republic of Korea
253,Air Livonia,\N,"",LIV,LIVONIA,Estonia
254,Air BC,\N,"",ABL,AIRCOACH,Canada
255,Air Fret Senegal,\N,"",ABN,"",Senegal
256,Air Jamahiriya Company,\N,"",LJA,AIR JAMAHIRIYA,Libya
257,Aktjubavia,\N,"",AKB,KARAB,Kazakhstan
258,Arca Aerovias Colombianas Ltda.,\N,"",AKC,ARCA,Colombia
259,Anikay Air Company,\N,"",AKF,ANIKAY,Kyrgyzstan
260,Akhal,\N,"",AKH,AKHAL,Turkmenistan
261,Aeromilenio,\N,"",MNI,AEROMIL,Mexico
262,Aklak Air,\N,"",AKK,AKLAK,Canada
263,Air Kiribati,\N,4A,AKL,"",Kiribati
264,Alkan Air,\N,"",AKN,ALKAN AIR,Canada
265,Angkor Airways,\N,"",AKW,ANGKORWAYS,Cambodia
266,Air Nippon Network Co. Ltd.,\N,EH,AKX,ALFA WING,Japan
267,AK Navigator LLC,\N,"",AKZ,ABSOLUTE,Kazakhstan
